Satellite                     AOS           LOS     Duration  Peak AZ  Peak EL
ISS         11/15/2024 2:28:22 AM    2:39:14 AM     00:10:52   229.6°    41.8°
AO-73       11/15/2024 3:35:30 AM    3:48:49 AM     00:13:19   278.6°    79.5°
CAS-4A      11/15/2024 4:26:26 AM    4:38:05 AM     00:11:39   141.1°    47.5°
AO-07       11/15/2024 6:53:53 AM    7:16:11 AM     00:22:18   292.5°    50.8°
IO-117      11/15/2024 7:15:21 AM    8:35:29 AM     01:20:08   294.4°    67.5°
RS-44       11/15/2024 7:44:49 AM    8:06:17 AM     00:21:28    79.7°    36.8°
RS-44       11/15/2024 9:38:17 AM    9:59:18 AM     00:21:01   270.9°    34.7°
IO-117      11/15/2024 3:49:44 PM    5:09:56 PM     01:20:12    66.4°    69.5°
ISS         11/15/2024 5:28:32 PM    5:39:48 PM     00:11:16   307.0°    80.3°
AO-07       11/15/2024 5:45:34 PM    6:08:32 PM     00:22:58   254.0°    61.2°
RS-44       11/15/2024 8:17:28 PM    8:36:49 PM     00:19:21    88.4°    33.9°
ISS         11/16/2024 1:37:59 AM    1:49:05 AM     00:11:06    38.4°    81.4°
AO-73       11/16/2024 3:39:27 AM    3:52:44 AM     00:13:17   285.1°    70.5°
CAS-4A      11/16/2024 3:47:26 AM    3:58:52 AM     00:11:26   139.7°    35.1°
IO-117      11/16/2024 5:36:38 AM    6:54:52 AM     01:18:14    99.8°    73.9°
AO-07       11/16/2024 5:53:49 AM    6:16:43 AM     00:22:54   105.9°    67.2°
RS-44       11/16/2024 8:08:15 AM    8:30:42 AM     00:22:27    83.6°    61.5°
IO-117      11/16/2024 2:07:19 PM    3:25:56 PM     01:18:37    49.7°    39.5°
ISS         11/16/2024 4:38:20 PM    4:49:22 PM     00:11:02   130.5°    43.1°
AO-07       11/16/2024 4:45:54 PM    5:08:33 PM     00:22:39    68.0°    56.1°
IO-117      11/16/2024 6:06:30 PM    7:21:38 PM     01:15:08   265.0°    53.6°
RS-44       11/16/2024 8:40:29 PM    9:00:53 PM     00:20:24    92.5°    59.4°
AO-73       11/17/2024 3:43:20 AM    3:56:35 AM     00:13:15   284.7°    62.4°
IO-117      11/17/2024 4:03:24 AM    5:14:10 AM     01:10:46    89.8°    38.8°
CAS-4A      11/17/2024 4:46:12 AM    4:57:45 AM     00:11:33   332.7°    35.5°
AO-07       11/17/2024 6:46:43 AM    7:09:15 AM     00:22:32   292.2°    56.8°
IO-117      11/17/2024 7:52:39 AM    9:12:18 AM     01:19:39   301.2°    51.5°
RS-44       11/17/2024 8:31:54 AM    8:54:36 AM     00:22:42   263.9°    83.3°
CAS-4A     11/17/2024 11:21:26 AM   11:33:08 AM     00:11:42   218.6°    43.7°
AO-73       11/17/2024 2:26:19 PM    2:38:24 PM     00:12:05    73.0°    33.6°
IO-117      11/17/2024 4:26:05 PM    5:45:45 PM     01:19:40    59.0°    88.2°
AO-07       11/17/2024 5:38:24 PM    6:01:27 PM     00:23:03   254.6°    68.4°
RS-44       11/17/2024 9:04:02 PM    9:24:42 PM     00:20:40   271.4°    81.5°
AO-73       11/18/2024 3:47:11 AM    4:00:23 AM     00:13:12   283.5°    55.3°
CAS-4A      11/18/2024 4:06:43 AM    4:18:22 AM     00:11:39   331.0°    44.8°
AO-07       11/18/2024 5:46:45 AM    6:09:32 AM     00:22:47   103.9°    60.0°
IO-117      11/18/2024 6:11:21 AM    7:31:02 AM     01:19:41   287.6°    86.6°
RS-44       11/18/2024 8:55:48 AM    9:17:58 AM     00:22:10   268.9°    51.2°
CAS-4A     11/18/2024 10:41:58 AM   10:53:48 AM     00:11:50   218.2°    59.8°
AO-73       11/18/2024 2:30:01 PM    2:42:16 PM     00:12:15    74.7°    37.8°
IO-117      11/18/2024 2:44:52 PM    4:04:41 PM     01:19:49    60.0°    52.7°
ISS         11/18/2024 4:33:51 PM    4:44:59 PM     00:11:08   316.4°    49.5°
AO-07       11/18/2024 4:38:58 PM    5:01:22 PM     00:22:24    68.1°    50.2°
IO-117      11/18/2024 6:42:58 PM    7:53:21 PM     01:10:23   270.6°    37.6°
RS-44       11/18/2024 9:28:04 PM    9:48:17 PM     00:20:13   278.9°    47.2°
ISS        11/19/2024 12:43:10 AM   12:54:11 AM     00:11:01   225.9°    60.9°
CAS-4A      11/19/2024 3:27:09 AM    3:38:52 AM     00:11:43   327.0°    58.6°
AO-73       11/19/2024 3:50:59 AM    4:04:07 AM     00:13:08   285.3°    49.2°
IO-117      11/19/2024 4:35:15 AM    5:50:36 AM     01:15:21    94.9°    55.0°
AO-07       11/19/2024 6:39:34 AM    7:02:16 AM     00:22:42   291.4°    63.5°
RS-44       11/19/2024 7:26:13 AM    7:48:20 AM     00:22:07    79.8°    42.6°
IO-117      11/19/2024 8:31:31 AM    9:49:58 AM     01:18:27   310.3°    38.6°
RS-44       11/19/2024 9:19:56 AM    9:40:49 AM     00:20:53   272.3°    30.7°
CAS-4A     11/19/2024 10:02:24 AM   10:14:18 AM     00:11:54   212.6°    81.3°
AO-73       11/19/2024 2:33:42 PM    2:46:04 PM     00:12:22    75.3°    42.6°
ISS         11/19/2024 3:43:14 PM    3:54:26 PM     00:11:12   128.5°    71.1°
IO-117      11/19/2024 5:02:14 PM    6:20:22 PM     01:18:08   259.6°    72.4°
AO-07       11/19/2024 5:31:16 PM    5:54:22 PM     00:23:06   251.8°    76.2°
RS-44       11/19/2024 7:58:53 PM    8:18:28 PM     00:19:35    88.9°    38.9°
ISS        11/19/2024 11:52:34 PM   12:03:36 AM     00:11:02    45.7°    56.2°
CAS-4A      11/20/2024 2:47:30 AM    2:59:14 AM     00:11:44   321.4°    78.4°
